PID,TITLE,AUTHORS
E831009,A PROLOG IMPLEMENTATION OF LEXICAL FUNCTIONAL GRAMMAR AS A BASE FOR A NATURAL LANGUAGE PROCESSING SYSTEM,#WERNER_FREY#UWE_REYLE
E831010,EXTENDED ACCESS TO THE LEFT CONTEXT IN AN ATN PARSER,#IRINA_PRODANOF#GIACOMO_FERRARI
E831011,AN EXPERIMENT WITH HEURISTIC PARSING OF SWEDISH,#BENNY_BRODDA
E831012,TOWARDS THE SEMANTICS OF SENTENCE ADVERBIALS,#EVA_KOKTOVA
E831013,DEALING WITH CONJUNCTIONS IN A MACHINE TRANSLATION ENVIRONMENT,#XIUMING_HUANG
E831014,FALLIBLE RATIONALISM AND MACHINE TRANSLATION,#GEOFFREY_SAMPSON
E831015,THE GENERATION OF TERM DEFINITIONS FROM AN ON_LINE TERMINOLOGICAL THESAURUS,#JOHN_MCNAUGHT
E831016,RELATING SYNTAX AND SEMANTICS_ THE SYNTACTICO_SEMANTIC LEXICON OF THE SYSTEM VIE_LANG,#INGEBORG_STEINACKER#ERNST_BUCHBERGER
E831017,AN ISLAND PARSING INTERPRETER FOR THE FULL AUGMENTED TRANSITION NETWORK FORMALISM,#JOHN_A_CARROLL
E831018,WEDNESDAY_ Parsing Flexible Word Order Languages,#OLIVIERO_STOCK#CRISTIANO_CASTELFRANCHI#DOMENICO_PARISI
E831019,How to Parse Gaps in Spoken Utterances,#G_GOERZ#C_BECKSTEIN
E831020,A FLEXIBLE NATURAL LANGUAGE PARSER BASED ON A TWO_LEVEL REPRESENTATION OF SYNTAX,#LEONARDO_LESMO#PIETRO_TORASSO
E831021,AN APPROACH TO NATURAL LANGUAGE IN THE SI_NETS PARADIGM,#AMEDEO_CAPPELLI#LORENZO_MORETTI
E831022,AN EXPERIMENT ON SYNTHESIS OF RUSSIAN PARAMETRIC CONSTRUCTIONS,#IS_KONONENKO#EL_PERSHINA
E831023,LEARNING TRANSLATION SKILLS WITH A KNOWLEDGE_BASED TUTOR_ FRENCH_ITALIAN CONJUNCTIONS IN CONTEXT,#STEFANO_A_CERRI
E831024,TOWARDS BETTER UNDERSTANDING OF ANAPHORA,#BARBARA_DUNINKEPLICZ
E831025,Rules for Pronominalization,#FRANZ_GUENTHNER#HUBERT_LEHMANN
E831026,LOCAL AND GLOBAL STRUCTURES IN DISCOURSE UNDERSTANDING,#M_KOIT#S_LITVAK#H_OIM#T_ROOSMAA#M_SALUVEER
E831027,SYSTEMIC GRAMMAR IN COMPUTATION_ THE NIGEL CASE,#CHRISTIAN_MIM_MATTHIESSEN
E831028,Inquiry Semantics_ A Functional Semantics of Natural Language Grammar,#WILLIAM_C_MANN
E831029,NATURAL LANGUAGE INPUT FOR SCENE GENERATION,#GIOVANNI_ADORNI#MAURO_DI_MANZO
E831030,A MULTILEVEL APPROACH TO HANDLE NON_STANDARD INPUT,#MANFRED_GEHRKE
E831031,CASE ROLE FILLING AS A SIDE EFFECT OF VISUAL SEARCH,#HEINZ_MARBURGER#WOLFGANG_WAHLSTER
E831032,_NATURAL_ LANGUAGE INFORMATION RETRIEVAL SYSTEM DIALOG_,#L_BOLE#K_KOCHUT#A_LESNIEWSKI#T_STRZALKOWSKI
E851001,NATURAL LANGUAGES AND THE CHOMSKY HIERARCHY,#ANDRAS_KORNEL
E851002,HOW DOES NATURAL LANGUAGE QUANTIFY_,#MICHAEL_HESS
E851003,_DISTRIBUTIVES_ QUANTIFIERS AND A MULTIPLICITY OF EVENTS_,#LESLEY_STIRLING
E851004,MONTAGOVIAN DEFINITE CLAUSE GRAMMAR,#R_I_BAINBRIDGE
E851005,THE SPECIFICATION OF TIME MEANING FOR MACHINE TRANSLATION,#FRANK_VAN_EYNDE#LOUIS_DES_TOMBE#FONS_MAES
E851006,AN ATN TREATMENT WH_MOVEMENT,#HANS_HAUGENEDER
E851007,SAUMER_ SENTENCE ANALYSIS USING METARULES,#FRED_POPOWICH
E851008,Effective Parsing With Generalised Phrase Structure Grammar,#ALLAN_RAMSAY
E851009,An Evaluation of METAL_ the LRC Machine Translation System,#JONATHAN_SLOCUM#WINFIELD_S_BENNETT
E851010,A TWO_WAY APPROACH TO STRUCTURAL TRANSFER IN MT,#REBECCA_ROOT
E851011,VARIOUS REPRESENTATIONS OF TEXT PROPOSED FOR EUROTRA,#CHRISTIAN_BOITET#NELSON_VERASTEGUI#DANIEL_BACHUT
E851012,NATURAL LANGUAGE PROCESSING AND IHE AUTOMATIC ACQUISITION OF KNOWLEDGE_ A SIMULATIVE APPROACH,#DANILO_FUM
E851013,Right Attachment and Preference Semantics _,#YORICK_WILKS
E851014,HOW TO RESTRICT AMBIGUITY OF DISCOURSE,#BARBARA_DUNINKEPLICZ
E851015,LANGUAGE_BASED ENVIRONMENT FOR NATURAL LANGUAGE PARSING,#LEHTOLA_A#JAPPINEN_H#NELIMARKKA_E
E851016,PARAMETRIZED ABSTRACT OBJECTS FOR LINGUISTIC INFORMATION PROCESSING,#HELENE_BESTOUGEFF#GERARD_LIGOZAT
E851017,ON THE REPRESENTATION OF QUERY TERM RELATIONS BY SOFT BOOLEAN OPERATORS,#GERARD_SALTON
E851018,THE RESOLUTION OF LOCAL SYNTACTIC AMBIGUITY BY THE HUMAN SENTENCE PROCESSING MECHANISM_,#GERRY_ALTMANN
E851019,A Parser That Doesn_t,#S_G_PULMAN
E851020,Parsing Defficulties ,#RODOL_O_DELMONTE
E851021,DESIGN AND IMPLEMENTATION OF A LEXICAL DATA BASE,#ERIC_WEHRLI
E851022,___Lexifanis__ A Lexical Analyzer of Modern Greek_,#YANNIS_KOTSANIS#YANIS_MAISTROS
E851023,A PROBABILISTIC APPROACH TO GRAMMATICAL ANALYSIS OF WRITTIN ENGLISH BY COMPUTER_,#ANDREW_DAVID_BEALE
E851024,A PROBABILISTIC PARSER,#ROGER_GARSIDE#FANNY_LEECH
E851025,TOWARDS A DICTIONARY SUPPORT ENVIRONMENT FOR REALTIME PARSING,#HIYAN_ALSHAWI#BRAN_BOGURAEV#TED_BRISCOE
E851026,TOWARDS A NEW TYPE OF MORPHENIC ANALYSIS,#EVA_KOKTOVA
E851027,A Computational Theory of Prose Style for Natural Language Generation,#DAVID_D_MCDONALD#JAMES_D_PUSTEJOVSKY
E851028,_AN ENGLISH GENERATOR FOR A CASE_LABELLED DEPENDENCY REPRESENTATION,#JOHN_IRVING_TAIT
E851029,Augmented Dependency Grammar_ A Simple Interface between the Grammar Rule and the Knowledge,#KAZUNORI_MURAKI#SHUNJI_ICHIYAMA#YASUTOMO_FUKUMOCHI
E851030,A NATUWAL LANGUAGE INTERFACE USING A WORLD MODEL_,#YOSHIO_IZUMIDA#HIROSHI_ISHIKAWA#TOSHIAKI_YOSHINO#TADASHI_HOSHIAI#AKIFUMI_MAKINOUCHI
E851031,INTERPRETING SINGULAR DEFINITE DESCRIPTIONS IN DATABASE QUERIES,#GENEVIEVE_BERRYROGGHE
E851032,NON STANDARD USES OF IF,#DS_BREE#RA_SMIT
E851033,USING A TEXT MODEL FOR ANALYSIS AND GENERATION,#E_FIMBEL#H_GROSCOT#JM_LANCEL#N_SIMONIN
E851034,THE SIMULATION OF STRESS PATTERNS IN SYNTHETIC SPEECH _ A TWO_LEVEL PROBLEM,#TIMOTHY_J_GILLOTT
E851035,AUTOMATED SPEECH RECOGNITION_ A FRAMEWORK FOR RESEARCH,#ANNE_JOHNSTONE#GERRY_ALTMANN
E851036,A RULE_BASED APPROACH TO EVALUATING IMPORTANCE IN DESCRIPTIVE TEXTS,#DANILO_FUM#GIOVANNI_GUIDA#CARLO_TASSO
E851037,A PROBLEM SOLVING APPROACH TO GENERATING TEXT FROM SYSTEMIC GRAMMARS,#TERRY_PATTEN
E851038,GEMS_ A MODEL OF SENTENCE PRODUCTION,#DOMENICO_PARISI#ALESSANDRA_GIORGI
E851039,TOWARDS AN AUTOMATIC IDENTIPEATION OF TOPIC AND FOCUS,#EVA_HAJICOVA#PETR_SGALL
E851040,_USER MODELLING_ DIALOG STRUCTURE_ AND DIALOG STRATEGY IN HAM_ANS_,#KATHARINA_MORIK
E851041,THE STRUCTURE OF COMMUNICATIVE CONTEXT OF DIALOGUE INTERACTION,#AS_NARINYANI#OP_SIMONOVA
E871001,The Linguistic Basis of Text Generation,#LAURENCE_DANLOS
E871002,Nonconcatenative Finite_State Morphology,#MARTIN_KAY
E871003,FORMALISMS FOR MORPHOGRAPHEMIC DESCRIPTION,#ALAN_BLACK#GRAEME_RITCHIE#STEVE_PULMAN#GRAHAM_RUSSELL
E871004,MORPHOLOGY in the EUROTRA BASE LEVEL CONCEPT,#PETER_LAU#SERGEI_PERSCHKE
E871005,A MORPHOLOGICAL PROCESSOR FOR MODERN GREEK,#ANGELA_RALLI#ELENI_GALIOTOU
E871006,A GENERATIVE GRAMMAR APPROACH FOR THE MORPHOLOGIC AND MORPHOSYNTACTIC ANALYSIS OF ITALIAN,#MARINA_RUSSO
E871007,HOW TO DETECT GRAMMATICAL ERRORS IN A TEXT WITHOUT PARSING IT,#ERIC_STEVEN_ATWELL
E871008,AUTOMATED REASONING ABOUT NATURAL LANGUAGE CORRECTNESS,#WOLFGANG_MENZEL
E871009,TOWARDS AN INTEGRATED ENVIRONMENT FOR SPANISH DOCUMENT VERIFICATION AND COMPOSITION,#R_CASAJUANA#C_RODRIGUEZ#L_SOPENA#C_VILLAR
E871010,PATTERN RECOGNITION APPLIED TO THE ACQUISITION OF A GRAMMATICAL CLASSIFICATION SYSTEM FROM UNRESTRICTED ENGLISH TEXT,#ERIC_STEVEN_ATWELL#NICOS_FRIXOU_DRAKOS
E871011,A Multi_Purpose Interface to an On_line Dictionary,#BRANIMIR_BOGURAEV#DAVID_CARTER#TED_BRISCOE
E871012,_A TOOL FOR THE AUTOMATIC CREATION_ EXTENSION AND UPDATING OF LEXICAL KNOWLEDGE BASES_,#WALTER_MP_DAELEMANS
E871013,TEXT UNDERSTANDING WITH MULTIPLE KNOWLEDGE SOURCES_ AN EXPERIMENT IN DISTRIBUTED PARSING,#CINZIA_COSTANTINI#DANILO_FUM#GIOVANNI_GUIDA
E871014,AN AUTOMATIC SPEECH RECOGNITION SYSTEM FOR THE ITALIAN LANGUAGE,#PAOLO_DORTA#MARCO_FERRETTI#ALESSANDRO_MARTELLI#STEFANO_SCARCI
E871015,MULTILEVEL SEMANTIC ANALYSIS IN AN AUTOMATIC SPEECH UNDERSTANDING AND DIALOG SYSTEM,#UTE_EHRLICH
E871016,STOCHASTIC MODELING OF LANGUAGE VIA SENTENCE SPACE PARTITIONING,#ALEX_MARTELLI
E871017,DICTIONARY ORGANIZATION FOR MACHINE TRANSLATION_ THE EXPERIENCE AND IMPLICATIONS OF THE UMIST JAPANESE PROJECT,#MARY_MCGEE_WOOD#ELAINE_POLLARD#HEATHER_HORSFALL#NATSUKO_HOLDEN#BRIAN_CHANDLER#JEREMY_CARROLL
E871018,_MACHINE TRANSLATION_ LINGUISTICS_ AND INTERLINGUA_,#PETR_SGALL#JARMILA_PANEVOVA
E871019,_FAIL_SOFT ___EMERGENCY___ MEASURES IN A PRODUCTION_ORIENTED MT SYSTEM_,#EVA_HAJICOVA#ZDENEK_KIRSCHNER
E871020,REFTEX _ A CONTEXT_BASED TRANSLATION AID,#POUL_SOREN_KJAERSGAARD
E871021,RUSLAN _ AN MT SYSTEM BETWEEN CLOSELY BELATED LANGUAGES,#JAN_HAJIC
E871022,_Subgrammars_ Rule Classes and Control in the Rosetta Translation System_,#LISETTE_APPELO#CAREL_FELLINGER#JAN_LANDSBERGEN
E871023,A MODEL FOR PREFERENCE,#DOMINIQUE_PETITPIERRE#STEVEN_KRAUWER#LOUIS_DES_TOMBE#DOUG_ARNOLD#GIOVANNI_B_VARILE
E871024,Parsing into Discourse Object Descriptions,#LARS_AHRENBERG
E871025,DESCRIPTIONAL ANAPHORA IN DISCOURSE REPRESENTATION THEORY,#MICHAEL_HESS
E871026,A PROPOSAL FOR MODIFICATIONS IN THE FORMALISM OF GPSG,#JAMES_KILBURY
E871027,STRING_TREE CORRESPONDENCE GRAMMAR_ A DECLARATIVE GRAMMAR FORMALISM FOR DEFINING THE CORRESPONDENCE BETWEEN STRINGS OF TERMS AND TREE STRUCTURES,#YUSOFF_ZAHARIN
E871028,DANISH FIELD GRAMMAR IN TYPED PROLOG,#HENRIK_RUE
E871029,AUXILIARIES AND CLITICS IN FRENCH UCG GRAMMAR,#K_BASCHUNG#GG_BES#A_CORLUY#T_GUILLOTIN
E871030,NATURAL AND SIMULATED POINTING,#DAGMAR_SCHMAUKS
E871031,PLANNING FOR PROBLEM FORMULATION IN ADVICE_GIVING DIALOGUE,#PAUL_DECITRE#THOMAS_GROSSI#CLDO_JULLIEN#JEANPHILIPPE_SOLVAY
E871032,MODELING EXTEMPORANEOUS ELABORATION,#MARIE_A_BIENKOWSKI
E871033,AN EFFICIENT CONTEXT_FREE PARSER FOR AUGMENTED PHRASE_STRUCTURE GRAMMARS,#MASSIMO_MARINO#ANTONELLA_SPIEZIO#GIACOMO_FERRARI#IRINA_PRODANOF
E871034,_DISCONTINUOUS CONSTITUENTS IN TREES_ RULES_ AND PARSING_,#HARRY_BUNT#JAN_THESINGH#KO_VAN_DER_SLOOT
E871035,DETERMINISTIC PARSING AND UNBOUNDED DEPENDENCIES,#TED_BRISCOE
E871036,DECLARATIVE NODEL FOR DEPENDENCY PARSING _ A VIEW INTO BLACKBOARD METHODOLOGY,#VALKONEN_K#JAPPINEN_M#LEHTOLA_A#YLILAMMI_M
E871037,A Comparison of Rule_Invocation Strategies in Context_Free Chart Parsing,#MATS_WIREN
E871038,COPING WITH DYNAMIC SYNTACTIC STRATEGIES_ AN EXPERIMENTAL ENVIRONMENT FOR AN EXPERIMENTAL PARSER,#OLIVIERO_STOCK
E871039,Acquisition of Conceptual Data Models from Natural Language Descriptions,#WILLIAM_J_BLACK
E871040,A STRUCTURED REPRESENTATION OF WORD_SENSES FOR SEMANTIC ANALYSIS_,#MARIA_TERESA_PAZIENZA#PAOLA_VELARDI
E871041,SITUATIONS AND PREPOSITIONAL PHRASES,#ERIK_COLBAN#JENS_ERIK_FENSTAD
E871042,TEMPORAL REASONING IN NATURAL LANGUAGE UNDERSTANDING_ THE TEMPORAL STRUCTURE OF THE NARRATIVE,#ALEXANDER_NAKHIMOVSKY
E871043,_ITERATION_ HABITUALITY AND VERB FORM SEMANTICS_,#FRANK_VAN_EYNEE
E871044,INTEGRATING SEHANTICS AND FLEXIBLE SYNTAX BY EXPLOITING ISOMORPHISM BETWEEN GRAMNATICAL AND SENANTICAL RELATIONS,#MORENS_DANIELE#FRANCO_FERRARA#ROBERTO_GEMELLO#CLAUDIO_RULLENT
E871045,FRAGMENTATION AND PART OF SPEECH DISAMBIGUATION,#JEANLOUIS_BINOT
E871046,FINITE STATE PROCESSING OF TONE SYSTEMS,#DAFYDD_GIBBON
E871047,REPRESENTATION OF FEATURE SYSTEMS IN A NON_CONNECTIONIST MOLECULAR MACHINE,#LASELO_KALMAN
E871048,SOME REMRKS ON CASE RELATIONS,#JURGEN_KUNZE
E871049,PASSIVES,#STEVE_PULMAM
E871050,_DEALING WITH THE NOTION __OBLIGATORY__ IN SYNTACTIC ANALYSIS_,#DOROTHEE_REIMANN
E891001,Parsing Idioms in Lexicalized TAGs,#ANNE_ABEILLE#YVES_SCHABES
E891002,PARSING AND DERIVATIONAL EQUIVALENCE,#MARK_HEPPLE#GLYN_MORRILL
E891003,EFFICIENT PROCESSING OF FLEXIBLE CATEGORIAL GRAMMAR,#GOSSE_BOUMA
E891004,Dialog Control in a Natural Language System,#MICHAEL_GERLACH#HELMUT_HORACEK
E891005,A METAPLAN MODEL FOR PROBLEM_SOLVING DISCOURSE,#LANCE_A_RAMSHAW
E891006,TENSES AS ANAPHORA,#KURT_EBERLE#WALTER_KASPER
E891007,ON THE GENERATIVE POWER OF TWO_LEVEL MORPHOLOGICAL RULES,#GRAEME_RITCHIE
E891008,PARADIGMATIC MORPHOLOGY,#JONATHAN_CALDER
E891009,Inference in DATR,#ROGER_EVANS#GERALD_GAZDAR
E891010,Ambiguity Resolution in the DMTRANS PLUS,#HIROAKI_KITANO#HIDETO_TOMABECHI#LORI_LEVIN
E891011,THE ORGANIZATION OF THE ROSETTA GRAMMARS,#JAN_ODIJK
E891012,Programming in Logic with Constraints for Natural Language Processing,#PATRICK_SAINTDIZIER
E891013,JPSG Parser on Constraint Logic Programming,#TUDA_HIROSI#HASIDA_KOITI#SIRAI_HIDETOSI
E891014,A logical treatment of semi_free word order and bounded discontinuous constituency,#MIKE_REAPE
E891015,FOCUS AND ACCENT IN A DUTCH TEXT_TO_SPEECH SYSTEM,#JOAN_LG_BAART
E891016,User studies and the design of Natural Language Systems,#STEVE_WHITTAKER#PHIL_STENTON
E891017,TENSE GENERATION IN AN INTELLIGENT TUTOR FOR FOREIGN LANGUAGE TEACHING_ SOME ISSUES IN THE DESIGN OF THE VERB EXPERT,#DANILO_FUM#PAOLO_GIANGRANDI#CARLO_TASSO
E891018,Collocations in Multilingual Generation,#ULRICH_HELD#SYBILLE_RAAB
E891019,LEXICAL ACQUISITION IN THE CORE LANGUAGE ENGINE,#DAVID_M_CARTER
E891020,It Would Be Much Easier If WENT Were GOED,#DAN_TUFIS
E891021,PLAN REVISION IN PERSON_MACHINE DIALOGUE,#CLEO_JULLIEN#JEANCHARLES_MARTY
E891022,REMARKS ON PLURAL ANAPHORA,#CAROLA_ESCHENBACH#CHRISTOPHER_HABEL#MICHAEL_HERWEG#KLAUS_REHKAMPER
E891023,ENHANCING EXPLANATION COHERENCE WITH RHETORICAL STRATEGIES,#MARK_T_MAYBURY
E891024,Expressing generalizations in unification_based grammar formalisms,#MARC_MOENS#JO_CALDER#EWAN_KLEIN#MIKE_REAPE#HENK_ZEEVAT
E891025,A rich environment for experimentation with unification grammars,#R_JOHNSON#M_ROSNER
E891026,LAMBEK THEOREM PROVING AND FEATURE UNIFICATION,#ERIKJAN_VAN_DER_LINDEN
E891027,A FORMAL REPRESENTATION OF PROPOSITIONS AND TEMPORAL ADVERBIALS,#JURGEN_KUNZE
E891028,COMPUTATIONAL SEMANTICS OF MASS TERMS,#JAN_TORE_LONNING
E891029,EXTENDED GRAPH UNIFICATION,#ALLAN_RAMSAY
E891030,A MODULAR APPROACH TO STORY GENERATION,#LYN_PEMBERTON
E891031,SUBJECT ERASING AND PRONOMINALIZATION IN ITALIAN TEXT GENERATION,#FIAMMETTA_NAMER
E891032,AN ALGORITHM FOR GENERATION IN UNIFICATION CATEGORIAL GRAMMAR,#JONATHAN_CALDER#MIKE_REAPE#HENK_ZEEVAT
E891033,Interactive Incremental Chart Parsing,#MATS_WIREN
E891034,FRENCH ORDER WITHOUT ORDER,#GABRIEL_G_BES#CLAIRE_GARDENT
E891035,THE SYNTACTIC REGULARITY OF ENGLISH NOUN PHRASES,#LITA_TAYLOR#CLAIRE_GROVER#TED_BRISEOE
E891036,A Descriptive Framework for Translating Speaker_s Meaning,#MASAKO_KUME_#GAYLE_K_SATO#KEI_YOSHIMOTO
E891037,TRANSLATION BY STRUCTURAL CORRESPONDENCES,#RONALD_M_KAPLAN#KLAUS_NETTER#JURGEN_WEDEKIND#ANNIE_ZAENEN
E891038,A NEW VIEW ON THE PROCESS OF TRANSLATION,#JOHN_A_BATEMAN#ROBERT_T_KASPER#JORG_F_L_SCHUTZ#ERICH_H_STEINER
E891039,EMPIRICAL STUDIES OF DISCOURSE REPRESENTATIONS FOR NATURAL LANGUAGE INTERFACES,#NILS_DAHLBACK#AME_JONSSON
E891040,AN APPROACH TO SENTENCE_LEVEL ANAPHORA IN MACHINE TRANSLATION,#GERTJAN_VAN_NOORD#JOKE_DORREPAAL#DOUG_ARNOLD#STEVEN_KRAUWER#LOUISA_SADLER#LOUIS_DES_TOMBE
E891041,SITUATION SEMANTICS AND MACHINE TRANSLATION,#CJ_RUPP
E891042,_ON FORMALISMS AND ANALYSIS_ GENERATION AND SYNTHESIS IN MACHINE TRANSLATION_,#ZAHARIN_YUSOFF
E911001,Towards Reusable Linquistic Resources,#A_ZAMPOLLI
E911002,COMPARATIVES AND ELLIPSIS,#S_G_PULMAN
E911003,DESIGNING ILLUSTRATED TEXTS_ HOW LANGUAGE PRODUCTION IS INFLUENCED BY GRAPHICS GENERATION,#WOLFGANG_WAHLSTER#ELISABETH_ANDRE#WINFRIED_GRAF#THOMAS_RIST
E911004,Pearl_ A Probabilistic Chart Parser,#DAVID_M_MAGERRNAN#MITCHELL_P_MARCUS
E911005,Long_Distance Scrambling and Tree Adjoining Grammars,#TILMAN_BECKER#ARAVIND_K_JOSHI#OWEN_RAMBOW
E911006,BIDIRECTIONAL PARSING OF LEXICALIZED TREE ADJOINING GRAMMARS,#ALBERTO_LAVELLI#GIORGIO_SATTA
E911007,HORN EXTENDED FEATURE STRUCTURES_ FAST UNIFICATION WITH NEGATION AND LIMITED DISJUNCTION,#STEPHEN_J_IIEGNER
E911008,INDEXING AND A REFERENTIAL DEPENDENCIES WITHIN BINDING THEORY_ COMPUTATIONAL FRAMEWORK,#FABIO_PIANESI
E911009,ON THE_ SYNTACTIC_SEMANTIC ANALYSIS OF BOUND ANAPHORA,#MANFRED_PINKAL
E911010,AN INDEXING TECHNIQUE FOR IMPLEMENTING COMMAND RELATIONS,#LONGIN_LATECKI
E911011,Processing Language with Logical Types and Active Constraints,#PATRICK_SAINTDIZIER
E911012,Non_deterministic Recursive Ascent Parsing,#RENE_LEERMAKERS
E911013,AN EXTENDED LR PARSING ALGORITHM FOR GRAMMARS USING FEATURE_BASED SYNTACTIC CATEGORIES,#TSUNEKO_NAKAZAWA
E911014,WHAT SORT OF TREES DO WE SPEAK_ A COMPUTATIONAL MODEL OF THE SYNTAX_PROSODY INTERFACE IN TOKYO JAPANESE,#PETE_WHITELOCK
E911015,A TASK INDEPENDENT ORAL DIALOGUE MODEL,#ERIC_BILANGE
E911016,A LOGICAL APPROACH TO ARABIC PHONOLOGY,#STEVEN_BIRD#PATRICK_BLACKBURN
E911017,_A UNIFIED MANAGEMENT AND PROCESSING OF WORD_FORMS_ IDIOMS AND ANALYTICAL COMPOUNDS_,#DAN_TUFTS#OCTAV_POPESCU
E911018,Analysis of Unknown Words through Morphological Decomposition,#ALAN_W_BLACK#JOKE_VAN_DE_PLASSCHE#BRIONY_WILLIAMS
E911019,AUTOMATIC LEARNING OF WORD TRANSDUCERS FROM EXAMPLES,#MICHEL_GILLOUX
E911020,STRUCTURE_DRIVEN GENERATION FROM SEPARATE SEMANTIC REPRESENTATIONS,#STEPHAN_BUSEMANN
E911021,USING PLAUSIBLE INFERENCE RULES IN DESCRIPTION PLANNING,#ALISON_CAWSEY
E911022,Generating Sentences from Different Perspectives,#LEE_FEDDER
E911023,PROSODIC INHERITANCE AND MORPHOLOGICAL GENERALISATIONS,#SABINE_REINHARD#DAFYDD_GIBBON
E911024,DATR AS A LEXICAL COMPONENT FOR PATR,#JAMES_KILBURY#PETRA_NAERGER#INGRID_RENZ
E911025,Parsing without lexicon_ the MorP system,#GUNNEL_KALLGREN
E911026,TEACHING THE ENGLISH TENSE_ INTEGRATING NAIVE AND FORMAL GRAMMARS IN AN INTELLIGENT TUTOR FOR FOREIGN LANGUAGE TEACHING,#DANILO_FUM#BRUNO_PANI#CARLO_TASSO
E911027,THE RECOGNITION CAPACITY OF LOCAL SYNTACTIC CONSTRAINTS,#MORI_RIMON
E911028,Generating Referring Expressions Involving Relations,#ROBERT_DALE#NICHOLAS_HADDOCK
E911029,COORDINATION IN UNIFICATION_BASED GRAMMARS,#RICHARD_P_COOPER
E911030,The Formal and Processing Models of CLG,#LUIS_DAMAS#GIOVANNI_B_VARILE
E911031,Prediction in Chart Parsing Algorithms for Categorial Unification Grammar,#GOSSE_BOUMA
E911032,Multiple Interpreters in a Principle_Based Model of Sentence Processing,#MATTHEW_W_CROCKER
E911033,EXPLOITING CONVERSATIONAL IMPLICATURE FOR GENERATING CONCISE EXPLANATIONS,#HELMUT_HORACEK
E911034,SEMANTIC FEATURES AND SELECTION RESTRICTIONS,#ELENA_V_PADUCHEVA
E911035,PROOF FIGURES AND STRUCTURAL OPERATORS FOR CATEGORIAL GRAMMAR,#GUY_BARRY#MARK_HEPPLE#NEIL_LESLIE#GLYN_MORRILL
E911036,CLASSICAL LOGICS FOR ATTRIBUTE_VALUE LANGUAGES,#JURGEN_WEDEKIND
E911037,Computational Aspects of M_grammars,#JOEP_ROUS
E911038,The Semantics of Collocational Patterns for Reporting Verbs,#SABINE_BERGLER
E911039,AUTOMATIC SEMANTIC CLASSIFICATION OF VERBS FROM THEIR SYNTACTIC CONTEXTS_ AN IMPLEMENTED CLASSIFIER FOR STATIVITY,#MICHAEL_R_BRENT
E911040,AN ASSESSMENT OF SEMANTIC INFORMATION AUTOMATICALLY EXTRACTED FROM MACHINE READABLE DICTIONARIES,#JEAN_VERONIS#NANCY_IDE
E911041,A DIALOGUE MANAGER USING INITIATIVE_RESPONSE UNITS AND DISTRIBUTED CONTROL,#ARNE_JONSSON
E911042,Modelling Knowledge for a Natural Language Understanding System,#GUDRUN_KLOSE#THOMAS_PIRLEIN
E911043,A BIDIRECTIONAL MODEL FOR NATURAL LANGUAGE PROCESSING,#GUNTER_NEUMANN
E911044,AN ALGORITHM FOR GENERATING NON_REDUNDANT QUANTIFIER SCOPINGS,#ESPEN_J_VESTRE
E911045,HELPFUL ANSWERS TO MODAL AND HYPOTHETICAL QUESTIONS,#ANNE_DE_ROECK#RICHARD_BALL#KEITH_BROWN#CHRIS_FOX#MARJOLEIN_GROEFSEMA#NADIM_OBEID#RAY_TURNER
E911046,THE TEXTUAL DEVELOPMENT OF NON_STEREOTYPIC CONCEPTS,#KARIN_HAENELT#MICHAEL_KONYVESTOTH
E911047,LIMITS OF A SENTENCE BASED PROCEDURAL APPROACH FOR ASPECT CHOICE IN GERMAN_RUSSIAN MT,#BIANKA_BUSCHSECK#RENATE_HENSCHEL#IRIS_HOSER#GERDA_KLIMONOW#ANDREAS_KUSTNER#INGRID_STARKE
E911048,Lexical Transfer based on bilingual signs_ Towards interaction during transfer,#JUNICH_TSUJII#KIMIKAZU_FUJITA
E911049,A PREFERENCE MECHANISM BASED ON MULTIPLE CRITERIA RESOLUTION,#YANNIS_DOLOGLOU#GIOVANNI_MALNATI#PATRIZIA_PAGGIO
E911050,A Language for the Statement of Binary Relations over Feature Structures,#GRAHAM_RUSSELL#AFZAL_BALLIM#DOMINIQUE_ESTIVAL#SUSAN_WARWICKARMSTRONG
E911051,STRUCTURAL NON_CORRESPONDENCE IN TRANSLATION,#LOUISA_SADLER#HENRY_S_THOMPSON
E911052,An Extension of Earley_s Algorithm for S_Attributed Grammars,#NELSON_CORREA
E911053,TOWARDS A CORE VOCABULARY FOR A NATURAL LANGUAGE SYSTEM,#HUBERT_LEHMANN
E911054,SUBLANGUAGES IN MACHINE TRANSLATION,#HEINZDIRK_LUCKHARDT
E911055,A COMMON FRAMEWORK FOR ANALYSIS AND GENERATION,#ALLAN_RAMSAY
E931002,The Incremental Generation of Passive Sentences,#BERND_ABB#MICHAEL_HERWEG#KAI_LEBETH
E931003,Experiments in Reusability of Grammatical Resources,#DOUG_ARNOLD#TONI_BADIA#JOSEF_VAN_GENABITH#STELLA_MARKANTONATOU#STEFAN_MOMMA#LOUISA_SADLER#PAUL_SCHMIDT
E931004,Talking About Trees,#PATRICK_BLACKBURN#CLAIRE_GARDENT#WILFRIED_MEYERVIOL
E931005,Decidability and Undecidability in stand_alone Feature Logics,#PATRICK_BLACKBURN#EDITH_SPAAN
E931006,Using an Annotated Corpus as a Stochastic Grammar,#RENS_BOD
